gene	vaf	sample_id	cov	t_alt_count	t_ref_count
gene_0	0.27743767539721653	sample_2	81	22	59
gene_1	0.2461697040522125	sample_2	148	36	112
gene_2	0.508711975893235	sample_2	177	90	87
gene_3	0.5765870148883107	sample_2	171	98	73
gene_4	0.355149428351639	sample_2	87	30	57
gene_5	0.6163392806313989	sample_2	155	95	60
gene_6	0.7712684128378177	sample_2	123	94	29
gene_7	0.7195121805924118	sample_2	177	127	50
gene_8	0.31112542608716043	sample_2	88	27	61
gene_9	0.09819031204929507	sample_2	174	17	157
gene_10	0.6382352057626877	sample_2	159	101	58
gene_11	0.03163614291818617	sample_2	117	3	114
gene_12	0.5616522954839787	sample_2	149	83	66
gene_13	0.9717822580446769	sample_2	97	94	3
gene_14	0.9679513780282744	sample_2	96	92	4
gene_15	0.9374088808483791	sample_2	69	64	5
gene_16	0.002788038959508188	sample_2	163	0	163
gene_17	0.11420923993191401	sample_2	177	20	157
gene_18	0.6832547912813229	sample_2	173	118	55
gene_19	0.2462950211028304	sample_2	91	22	69
gene_20	0.9797325922704738	sample_2	197	193	4
gene_21	0.8829424671857513	sample_2	167	147	20
gene_22	0.8130555635259743	sample_2	158	128	30
gene_23	0.11571349092867655	sample_2	86	9	77
gene_24	0.6014674778428617	sample_2	127	76	51
gene_25	0.5440251406553116	sample_2	172	93	79
gene_26	0.16032841027322298	sample_2	113	18	95
gene_27	0.014371532273682597	sample_2	117	1	116
gene_28	0.932219606641614	sample_2	78	72	6
gene_29	0.27620714957574677	sample_2	72	19	53
gene_30	0.523743714219678	sample_2	155	81	74
