gene	vaf	sample_id	cov	t_alt_count	t_ref_count
gene_0	0.6531941087299918	sample_10	135	88	47
gene_1	0.5128200464769959	sample_10	158	81	77
gene_2	0.35511715530206145	sample_10	51	18	33
gene_3	0.7034279996921968	sample_10	52	36	16
gene_4	0.4248845941749996	sample_10	145	61	84
gene_5	0.5912404959079604	sample_10	172	101	71
gene_6	0.9335908164352674	sample_10	170	158	12
gene_7	0.3289434929803259	sample_10	86	28	58
gene_8	0.5216913991669758	sample_10	78	40	38
gene_9	0.508378821143282	sample_10	94	47	47
gene_10	0.9115088796243888	sample_10	79	72	7
gene_11	0.1581016894387547	sample_10	126	19	107
gene_12	0.06397837752071067	sample_10	90	5	85
gene_13	0.0033477923849923874	sample_10	184	0	184
gene_14	0.09319387389078737	sample_10	190	17	173
gene_15	0.1498560210422828	sample_10	109	16	93
gene_16	0.16341753805664172	sample_10	183	29	154
gene_17	0.40296420677041134	sample_10	115	46	69
gene_18	0.14392520519983298	sample_10	154	22	132
gene_19	0.8623866170149423	sample_10	85	73	12
gene_20	0.285025919832924	sample_10	151	43	108
gene_21	0.2436557668452285	sample_10	69	16	53
gene_22	0.7448022018474176	sample_10	199	148	51
gene_23	0.256697991226815	sample_10	192	49	143
gene_24	0.9046684807538123	sample_10	154	139	15
gene_25	0.8586724369017956	sample_10	146	125	21
gene_26	0.6239540074221566	sample_10	117	73	44
gene_27	0.5680260995514135	sample_10	113	64	49
gene_28	0.13024012934535223	sample_10	60	7	53
gene_29	0.6326657225639851	sample_10	78	49	29
gene_30	0.07249351753526834	sample_10	124	8	116
gene_31	0.9943912740255997	sample_10	94	93	1
gene_32	0.7247088187014524	sample_10	70	50	20
gene_33	0.9152404160641309	sample_10	146	133	13
gene_34	0.8079099957982777	sample_10	195	157	38
gene_35	0.10177155988173225	sample_10	108	10	98
gene_36	0.11619801621026382	sample_10	167	19	148
gene_37	0.3715925546664439	sample_10	103	38	65
gene_38	0.8782771576470944	sample_10	126	110	16
