	Repo	Type	Name	Description	url
0	getzlab/JupyterReviewer	Repository	getzlab/JupyterReviewer	Review anything (purities, mutations, etc) within a jupyter notebook with plotly dash and jupyter widgets	https://github.com/getzlab/JupyterReviewer
1	getzlab/JupyterReviewer	AppComponent	AppComponents		https://github.com/getzlab/JupyterReviewer/blob/master/JupyterReviewer/AppComponents
2	getzlab/JupyterReviewer	AppComponent	CNVPlotComponent		https://github.com/getzlab/JupyterReviewer/blob/master/JupyterReviewer/AppComponents/CNVPlotComponent.py
3	getzlab/JupyterReviewer	AppComponent	DataTableComponents		https://github.com/getzlab/JupyterReviewer/blob/master/JupyterReviewer/AppComponents/DataTableComponents.py
4	getzlab/JupyterReviewer	AppComponent	MutationTableComponent		https://github.com/getzlab/JupyterReviewer/blob/master/JupyterReviewer/AppComponents/MutationTableComponent.py
5	getzlab/JupyterReviewer	AppComponent	PhylogicComponents		https://github.com/getzlab/JupyterReviewer/blob/master/JupyterReviewer/AppComponents/PhylogicComponents.py
6	getzlab/JupyterReviewer	AppComponent	__init__		https://github.com/getzlab/JupyterReviewer/blob/master/JupyterReviewer/AppComponents/__init__.py
7	getzlab/JupyterReviewer	AppComponent	utils		https://github.com/getzlab/JupyterReviewer/blob/master/JupyterReviewer/AppComponents/utils.py
8	getzlab/JupyterReviewer	Reviewer	Reviewers		https://github.com/getzlab/JupyterReviewer/blob/master/JupyterReviewer/Reviewers
9	getzlab/JupyterReviewer	Reviewer	ExampleReviewer		https://github.com/getzlab/JupyterReviewer/blob/master/JupyterReviewer/Reviewers/ExampleReviewer.py
10	getzlab/JupyterReviewer	Reviewer	__init__		https://github.com/getzlab/JupyterReviewer/blob/master/JupyterReviewer/Reviewers/__init__.py
11	getzlab/PurityReviewers	Repository	getzlab/PurityReviewers	Suite of purity reviewers and review components	https://github.com/getzlab/PurityReviewers
12	getzlab/PurityReviewers	AppComponent	AppComponents		https://github.com/getzlab/PurityReviewers/blob/master/PurityReviewers/AppComponents
13	getzlab/PurityReviewers	AppComponent	AbsoluteCustomSolutionComponent		https://github.com/getzlab/PurityReviewers/blob/master/PurityReviewers/AppComponents/AbsoluteCustomSolutionComponent.py
14	getzlab/PurityReviewers	AppComponent	AbsoluteSolutionsReportComponent		https://github.com/getzlab/PurityReviewers/blob/master/PurityReviewers/AppComponents/AbsoluteSolutionsReportComponent.py
15	getzlab/PurityReviewers	AppComponent	utils		https://github.com/getzlab/PurityReviewers/blob/master/PurityReviewers/AppComponents/utils.py
16	getzlab/PurityReviewers	Reviewer	Reviewers		https://github.com/getzlab/PurityReviewers/blob/master/PurityReviewers/Reviewers
17	getzlab/PurityReviewers	Reviewer	ManualPurityReviewer		https://github.com/getzlab/PurityReviewers/blob/master/PurityReviewers/Reviewers/ManualPurityReviewer.py
18	getzlab/PurityReviewers	Reviewer	MatchedPurityReviewer		https://github.com/getzlab/PurityReviewers/blob/master/PurityReviewers/Reviewers/MatchedPurityReviewer.py
19	getzlab/PatientReviewer	Repository	getzlab/PatientReviewer	Explore integrated data on the patient level interactively in a Dash App, powered by JupyterReviewer	https://github.com/getzlab/PatientReviewer
20	getzlab/PatientReviewer	AppComponent	AppComponents		https://github.com/getzlab/PatientReviewer/blob/master/PatientReviewer/AppComponents
21	getzlab/PatientReviewer	AppComponent	PatientReviewerLayout		https://github.com/getzlab/PatientReviewer/blob/master/PatientReviewer/AppComponents/PatientReviewerLayout.py
22	getzlab/PatientReviewer	AppComponent	ReviewerLayout		https://github.com/getzlab/PatientReviewer/blob/master/PatientReviewer/AppComponents/ReviewerLayout.py
23	getzlab/PatientReviewer	AppComponent	__init__		https://github.com/getzlab/PatientReviewer/blob/master/PatientReviewer/AppComponents/__init__.py
24	getzlab/PatientReviewer	Reviewer	Reviewers		https://github.com/getzlab/PatientReviewer/blob/master/PatientReviewer/Reviewers
25	getzlab/PatientReviewer	Reviewer	PatientReviewer		https://github.com/getzlab/PatientReviewer/blob/master/PatientReviewer/Reviewers/PatientReviewer.py
26	getzlab/MutationReviewer	Repository	getzlab/MutationReviewer		https://github.com/getzlab/MutationReviewer
27	getzlab/MutationReviewer	AppComponent	AppComponents		https://github.com/getzlab/MutationReviewer/blob/master/MutationReviewer/AppComponents
28	getzlab/MutationReviewer	AppComponent	BamTableComponent		https://github.com/getzlab/MutationReviewer/blob/master/MutationReviewer/AppComponents/BamTableComponent.py
29	getzlab/MutationReviewer	AppComponent	IGVJSComponent		https://github.com/getzlab/MutationReviewer/blob/master/MutationReviewer/AppComponents/IGVJSComponent.py
30	getzlab/MutationReviewer	AppComponent	IGVLocalComponent		https://github.com/getzlab/MutationReviewer/blob/master/MutationReviewer/AppComponents/IGVLocalComponent.py
31	getzlab/MutationReviewer	AppComponent	MutationTableComponent		https://github.com/getzlab/MutationReviewer/blob/master/MutationReviewer/AppComponents/MutationTableComponent.py
32	getzlab/MutationReviewer	AppComponent	utils		https://github.com/getzlab/MutationReviewer/blob/master/MutationReviewer/AppComponents/utils.py
33	getzlab/MutationReviewer	Reviewer	Reviewers		https://github.com/getzlab/MutationReviewer/blob/master/MutationReviewer/Reviewers
34	getzlab/MutationReviewer	Reviewer	DeprecatedMutationReviewer		https://github.com/getzlab/MutationReviewer/blob/master/MutationReviewer/Reviewers/DeprecatedMutationReviewer.py
35	getzlab/MutationReviewer	Reviewer	GeneralMutationReviewer		https://github.com/getzlab/MutationReviewer/blob/master/MutationReviewer/Reviewers/GeneralMutationReviewer.py
36	getzlab/PhylogicReviewer	Repository	getzlab/PhylogicReviewer	Interactive app to review Phylogic solutions and data.	https://github.com/getzlab/PhylogicReviewer
37	getzlab/PhylogicReviewer	AppComponent	AppComponents		https://github.com/getzlab/PhylogicReviewer/blob/master/PhylogicReviewer/AppComponents
38	getzlab/PhylogicReviewer	AppComponent	__init__		https://github.com/getzlab/PhylogicReviewer/blob/master/PhylogicReviewer/AppComponents/__init__.py
39	getzlab/PhylogicReviewer	Reviewer	Reviewers		https://github.com/getzlab/PhylogicReviewer/blob/master/PhylogicReviewer/Reviewers
40	getzlab/PhylogicReviewer	Reviewer	PhylogicReviewer		https://github.com/getzlab/PhylogicReviewer/blob/master/PhylogicReviewer/Reviewers/PhylogicReviewer.py
41	getzlab/PhylogicReviewer	Reviewer	__init__		https://github.com/getzlab/PhylogicReviewer/blob/master/PhylogicReviewer/Reviewers/__init__.py
