gene	vaf	sample_id	cov	t_alt_count	t_ref_count
gene_0	0.26652644989272245	sample_18	119	31	88
gene_1	0.1846109348236883	sample_18	50	9	41
gene_2	0.5446580215547998	sample_18	124	67	57
gene_3	0.5552119321881072	sample_18	179	99	80
gene_4	0.8415156091762961	sample_18	137	115	22
gene_5	0.6876078869163422	sample_18	122	83	39
gene_6	0.14642843463993083	sample_18	129	18	111
gene_7	0.513175391326761	sample_18	161	82	79
gene_8	0.21326237601706233	sample_18	101	21	80
gene_9	0.009084358174018203	sample_18	86	0	86
gene_10	0.5340568754672705	sample_18	95	50	45
gene_11	0.6473200893572039	sample_18	98	63	35
gene_12	0.10423555173861443	sample_18	156	16	140
gene_13	0.6486663640712699	sample_18	105	68	37
