Chromosome	Start.bp	End.bp	mu.major	mu.minor	n_probes	length	tau	sigma.minor	sigma.major
1	1	52520725	1.0	1.0	3592	21755030	5.420813	0.00038199992158088176	0.0020754192591096246
1	52520725	53550904	1.0	0.95	2602	16163355	2.7648085	0.0017313261754897337	0.0030833593280735097
1	53550904	63711847	1.0	1.0	3350	84766418	5.049284699999999	0.005305249210379738	0.00954199060227914
1	63711847	63740957	1.0	0.0	4657	79145113	0.6857983	0.002041305910160731	0.005055052455455086
1	63740957	65529663	3.0	0.0	3099	40004387	2.5625568	4.7125025481928024e-05	0.00024190091977712772
1	65529663	68700926	3.0	1.0	703	17334265	4.0178731999999995	0.005909817992657648	0.007634986366497036
1	68700926	69848506	1.0	1.0	2808	43963827	0.6934095	0.0002342914027252775	0.01159243278400967
1	69848506	69947299	3.0	1.0	3200	45097076	1.5446174	0.006613616210747761	0.008377848793527537
1	69947299	91510490	1.0	1.0	5048	71239513	4.507473	0.001533586988413436	0.007811491453243893
1	91510490	96892281	2.0	1.0	4488	46146750	2.5421506	0.004770656563712835	0.020484487682209278
1	96892281	98788116	3.0	2.0	1432	25509508	1.8226324999999999	0.010168971724140241	0.027404068299619562
1	98788116	99717284	2.0	1.0	5762	31362601	1.6753844999999998	0.0009327247273956665	0.003561043496757476
1	99717284	112341904	1.0	1.0	5305	21264819	2.462465	1.1898204357724516e-06	0.0015839138166673617
1	112341904	117363807	1.0	0.0	2216	3657714	5.1389984	0.0008231855856559805	0.009056222792525093
1	117363807	125590488	1.0	1.0	2041	52533811	4.6814054	0.0043746136139162185	0.004902730750431
1	125590488	127743964	1.0	0.0	855	93105799	0.9576389	0.00344364646348789	0.0059427231187116035
1	127743964	145024933	1.0	1.0	1052	87880446	1.6944469999999998	0.0015980923723390356	0.003709881635040384
1	145024933	146590727	1.0	0.95	1200	58433381	5.0359210999999995	0.003698366010842173	0.004904726447402329
1	146590727	148184116	0.95	0.55	1392	44885556	5.9892072	0.005593988384324638	0.009563505171459463
1	148184116	148575325	1.0	0.95	928	31930682	4.4286914	0.0038073094774938865	0.013767715608301916
1	148575325	153651773	1.0	1.0	1528	70194869	0.6148492	0.0064157482928211265	0.013172116648379957
1	153651773	157113678	3.0	1.0	3267	33813144	5.8797643	0.0051906061667619284	0.012947571786282228
1	157113678	158711079	1.0	1.0	2546	59594796	0.7521418	0.005638524133094915	0.01321498578588177
1	158711079	160810481	1.0	0.0	4152	2413923	1.1705885	0.001476791657410037	0.007734301483576927
1	160810481	167774441	1.0	1.0	1641	46125445	0.9096881	0.00421228177073311	0.009229951412078578
1	167774441	169740096	4.0	1.0	1417	77612921	0.1813883	0.008000424154247694	0.013944850090664552
1	169740096	202974138	1.0	1.0	5127	63853317	5.8299008	0.006275668408880933	0.027052140752584664
1	202974138	205157020	1.05	1.0	1828	58659314	3.7169144	0.0033014949824397132	0.010692538205109563
1	205157020	212567603	1.0	1.0	2720	33317948	4.9003558	0.013498451317952465	0.022257883534057984
1	212567603	216786790	1.0	0.97	1319	65141924	3.2427718999999997	0.013619956644323408	0.014388118285352549
1	216786790	231013376	1.0	1.0	3749	44429433	0.41533939999999997	0.011604943124593094	0.01416538767110421
1	231013376	236647014	1.0	0.9	1289	57908070	3.6128312	0.01285529651716608	0.02951932046078013
1	236647014	249250621	1.0	1.0	4044	94334174	1.5941482999999999	0.002073371597013726	0.005982551546357853
2	1	15493156	2.0	1.0	2845	80264513	0.4923681	0.011100563046817927	0.020175884102562467
2	15493156	16336436	3.0	1.0	1946	13682613	5.2805124	0.0034969393084656403	0.012626324145740827
2	16336436	35052083	2.0	1.0	1433	25528697	5.710483	0.0021348528690261215	0.004778512389115343
2	35052083	36939503	2.0	1.05	5315	33294102	1.4679459	0.005423670680246358	0.015387452824992796
2	36939503	37619169	1.8	1.05	2575	41252967	2.3515994	0.006216723106863068	0.009497318806894221
2	37619169	39404429	1.8	1.0	3486	89872593	3.9904712	7.597444107705511e-06	0.004194911461866978
2	39404429	46067133	2.0	1.0	1046	87626684	2.0339766999999997	0.004471205989553732	0.01705343834673592
2	46067133	47501990	2.0	0.7	1313	16135912	0.3786887	5.0232696314565706e-06	0.002411382162334896
2	47501990	52991658	2.0	1.0	2165	65230485	2.4793594999999997	0.0018113366141663987	0.0042595993924648854
2	52991658	53694655	2.05	1.0	2348	518298	4.8326861999999995	0.00163656884545198	0.00454598692460885
2	53694655	54100332	1.8	1.0	3215	46321915	4.082617	0.0026138518221024373	0.010056192547083268
2	54100332	55444807	2.05	1.0	4377	24633893	3.6191231999999998	0.006407395663626271	0.006669998140041451
2	55444807	56061207	2.05	0.55	1750	41515996	4.3173829999999995	0.0032085595521379145	0.015536840518489916
2	56061207	58552577	2.0	0.55	3496	71619896	5.0113636999999995	0.012184830845506681	0.03449459123746397
2	58552577	58602999	0.55	0.0	3752	23640176	2.2344271	0.0050108289251939225	0.029033290823257625
2	58602999	58924506	1.0	0.0	4442	77887393	2.3955291	0.005200622384266084	0.02237261717089711
2	58924506	74004902	2.0	1.0	4429	83067107	4.561905299999999	0.005341555024224522	0.015239160221798727
2	74004902	76353026	3.0	2.0	2104	42182896	5.0875708	0.0033479825508836414	0.023509699367220166
2	76353026	76415128	3.0	3.0	3690	9298599	3.3932661	0.009746268413001634	0.01203032072828317
2	76415128	80139084	3.0	2.0	2714	62750342	4.5327211	0.0012943742161571543	0.031889253831367266
2	80139084	86557656	2.0	1.0	4072	32875255	3.3225021999999997	0.004452683902477605	0.005530688340744446
2	86557656	87011811	2.0	1.03	2846	34535391	3.6922420999999996	0.011627917406125699	0.023377910297242583
2	87011811	87621627	2.0	1.0	3368	90663767	5.4932172	0.003933205090017701	0.010530200966083685
2	87621627	92321480	1.0	1.0	4022	54420685	5.1550223	0.001362988192849682	0.01229315894956292
2	92321480	94761681	1.0	0.4	5288	88765060	0.430231	0.003590532360576485	0.01299679222350726
2	94761681	95598196	1.0	1.0	4790	74046993	4.8943101	0.001872893684238426	0.018685653319646695
2	95598196	99917331	2.0	1.0	4103	76535463	0.9272020999999999	0.008898123846659204	0.019483362434823508
2	99917331	101213385	2.0	0.0	4083	35458490	2.3283511999999997	0.00900849240679396	0.009531105727085208
2	101213385	101518738	2.3	0.0	4309	58142510	2.3082659	0.015971546415037643	0.01999972951658159
2	101518738	102776839	2.0	0.0	1392	43337900	3.7235543	0.009015245285823125	0.021192782085416036
